,,,,,,,,,,,,,,,,,,,, , 
المحافظة,مساكن بها اسر خاصة كويتية,,,,مساكن بها اسر خاصة غير كويتية,,,,إجمالى مساكن الأسر الخاصة,,,, مساكن بها اسر جماعية,,,,الإجمالي,,,,
,شبكة المياه الحكومية,مياه شرب معبئة,مصادر أخرى,جملة,شبكة المياه الحكومية,مياه شرب معبئة,مصادر أخرى,جملة,شبكة المياه الحكومية,مياه شرب معبئة,مصادر أخرى,جملة,شبكة المياه الحكومية,مياه شرب معبئة,مصادر أخرى,جملة,شبكة المياه الحكومية,مياه شرب معبئة,مصادر أخرى,الجملة,
العاصمة,22957,2930,76,25963,14900,1135,683,16718,37857,4065,759,42681,1143,0,2,1145,39000,4065,761,43826,
 حولي,33500,4772,134,38406,86721,11642,628,98991,120221,16414,762,137397,1690,6,0,1696,121911,16420,762,139093,
الأحمدي,26552,2121,2227,30900,32560,7292,8539,48391,59112,9413,10766,79291,2181,14,7,2202,61293,9427,10773,81493,
 الجهراء,17114,500,1265,18879,17549,1879,5015,24443,34663,2379,6280,43322,823,5,19,847,35486,2384,6299,44169,
 الفروانية,28130,1275,1716,31121,88393,13107,12327,113827,116523,14382,14043,144948,3550,43,18,3611,120073,14425,14061,148559,
 مبارك الكبير,20601,1214,79,21894,3092,382,141,3615,23693,1596,220,25509,60,2,0,62,23753,1598,220,25571,
جملة الدولة,148854,12812,5497,167163,243215,35437,27333,305985,392069,48249,32830,473148,9447,70,46,9563,401516,48319,32876,482711,
