,,,,,,,,,,,,,,,,,
المحافظة,جملة عدد المساكن,عدد الافراد الكويتيون ,,,عدد الافراد غير الكويتيين,,,جملة الافراد,,,,, ,,,,
,,ذكر,أنثى,جملة,ذكر,أنثى,جملة,ذكر,أنثى,جملة,,,,,,,
العاصمة,44046,71468,75477,146945,99195,80373,179568,170663,155850,326513,,,,,,,
حولي,139362,95873,96905,192778,250382,229750,480132,346255,326655,672910,,,,,,,
الأحمدي,81777,114621,114701,229322,242342,116404,358746,356963,231105,588068,,,,,,,
الجهراء,45055,75163,77379,152542,140008,108425,248433,215171,185804,400975,,,,,,,
الفروانية,149044,107261,108964,216225,420076,182270,602346,527337,291234,818571,,,,,,,
مبارك الكبير,25644,76574,75583,152157,45409,61247,106656,121983,136830,258813,,,,,,,
جملة الدولة,484928,540960,549009,1089969,1197412,778469,1975881,1738372,1327478,3065850,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
