,,,,,,,,,,,,
المحافظة ,ملك خاص,ملك توفره الرعاية السكنية,إيجار غير مفروش,إيجار مفروش,يوفره العمل الحكومي,يوفره العمل الخاص,بدون إيجار أو بدون مقابل,مستملك للحكومة,الجملة,,,
 العاصمة,23813,339,13259,899,869,2357,1270,95,42901,,,
حولي,35650,555,89712,2706,1102,5501,2127,313,137666,,,
 الأحمدي,27633,1806,36582,2364,1214,7585,1209,1181,79574,,,
 الجهراء,16891,1213,19094,559,752,4770,495,430,44204,,,
الفروانية,33174,1678,98961,2294,1170,6244,1542,370,145433,,,
 مبارك الكبير,16671,2756,3230,285,299,519,353,1469,25582,,,
جملة الدولة,153832,8347,260838,9107,5406,26976,6996,3858,475360,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
