,,,,,,,,,,,,,,,,,,,,,
المحافظة , العاصمة,,, حولي,,, الأحمدي,,, الجهراء,,, الفروانية,,, مبارك الكبير,,,الجملة,,
نوع التكييف,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد,عدد المساكن,عدد الاسر,عدد الافراد
مركزي,16869,17848,166458,29946,31815,238154,14630,15755,132157,8657,9353,89904,17858,19424,173649,12263,13084,135063,100223,107279,935385
وحدات,7159,7576,67453,6805,7148,48176,13561,15235,144703,8911,9649,99468,11416,12765,114243,7458,8095,80164,55310,60468,554207
مختلط,1910,2022,20707,1618,1751,15980,2688,3051,32006,1297,1432,16250,1812,1983,20486,2150,2320,26315,11475,12559,131744
لايوجد,25,26,176,37,37,185,21,21,142,14,14,107,35,35,255,23,24,182,155,157,1047
جملة الدولة,25963,27472,254794,38406,40751,302495,30900,34062,309008,18879,20448,205729,31121,34207,308633,21894,23523,241724,167163,180463,1622383
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
