,,,,,,,,,,,,,,,,,,
المحافظة,اسر خاصة كويتية (عدد الأجهزة المتوفرة للأسرة),,,,,,اسر خاصة غير كويتية (عدد الأجهزة المتوفرة للأسرة),,,,,, جملة الاسر الخاصة (عدد الأجهزة المتوفرة للأسرة),,,,,
,لا يوجد,1,2,3فأكثر,غير مبين,جملة,لا يوجد,1,2,3فأكثر,غير مبين,جملة,لا يوجد,1,2,3فأكثر,غير مبين,الجملة
العاصمة,2087,5504,5996,12442,1443,27472,9081,4567,1241,1605,2181,18675,11168,10071,7237,14047,3624,46147
حولي,2944,10202,9376,15574,2655,40751,23873,54424,14871,9961,5103,108232,26817,64626,24247,25535,7758,148983
الأحمدي,4059,11570,7564,9428,1441,34062,16250,24549,4810,3287,3267,52163,20309,36119,12374,12715,4708,86225
الجهراء,2433,6671,4816,5344,1184,20448,11336,8572,3317,2568,1578,27371,13769,15243,8133,7912,2762,47819
الفروانية,3267,10456,8047,10939,1498,34207,66036,43940,5782,5196,4330,125284,69303,54396,13829,16135,5828,159491
مبارك الكبير,1286,4711,5126,10967,1433,23523,1068,881,437,647,1070,4103,2354,5592,5563,11614,2503,27626
جملة الدولة,16076,49114,40925,64694,9654,180463,127644,136933,30458,23264,17529,335828,143720,186047,71383,87958,27183,516291
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,49114,40925,64694,9654,180463,127644,136933,30458,23264,17529,335828,143720,186047,71383,87958,27183,516291
