,,,,,,,,,,,,,,,,,,
نوع المسكن ,اسر خاصة كويتية (عدد الأجهزة المتوفرة للأسرة),,,,,اسر خاصة غير كويتية (عدد الأجهزة المتوفرة للأسرة),,,,, جملة الاسر الخاصة (عدد الأجهزة المتوفرة للأسرة),,,,,,,
,لا يوجد,1,2, 3فأكثر,جملة,لا يوجد,1,2, 3فأكثر,جملة,لا يوجد,1,2, 3فأكثر,الجملة,,,
شقة,12,26974,15885,15579,58450,4432,172911,28187,12032,217562,4444,199885,44072,27611,276012,,,
فيلا,683,6078,16569,75314,98644,407,2927,1961,4851,10146,1090,9005,18530,80165,108790,,,
طابق من فيلا,83,1693,3622,5230,10628,114,1875,911,1005,3905,197,3568,4533,6235,14533,,,
قصر,4,34,56,350,444,40,649,57,120,866,44,683,113,470,1310,,,
بيت عربي,93,1092,2876,8236,12297,451,9291,4250,6209,20201,544,10383,7126,14445,32498,,,
مساكن تقليدية أخرى,0,0,0,0,0,1153,3923,528,409,6013,1153,3923,528,409,6013,,,
ملحق,0,0,0,0,0,709,16600,1074,618,19001,709,16600,1074,618,19001,,,
غرفة,0,0,0,0,0,3944,49560,791,1207,55502,3944,49560,791,1207,55502,,,
غرفة حارس في مبنى تحت التشييد,0,0,0,0,0,789,1742,36,65,2632,789,1742,36,65,2632,,,
جملة الدولة,875,35871,39008,104709,180463,12039,259478,37795,26516,335828,12914,295349,76803,131225,516291,,,
,,,,,,,,,,,,,,,,,,
