,,,,,,,,,,,,,,,,,,
حجم الأسرة,,,فرد واحد,2,3,4,5,6,7,8,9,10,11,12,13,14,15فأكثر ,جملة 
عدد الأسر,,,5526,5948,6659,8308,10912,14425,16531,17811,17972,19891,14517,15544,5984,4895,15644,180567
جنسية افراد الاسرة,افراد كويتيون,ذكر,3906,5229,7640,11426,17504,27049,36609,45684,51794,67961,50168,59799,24872,21779,102513,533933
,,أنثى,1620,4461,6879,11144,17982,27537,36500,44936,51455,67668,50057,60478,25358,22621,104852,533548
,,جملة ,5526,9690,14519,22570,35486,54586,73109,90620,103249,135629,100225,120277,50230,44400,207365,1067481
,افراد غير كويتيين,ذكر,0,972,2492,4478,7970,12712,16646,19980,22557,24767,23734,27173,11409,9987,38070,222947
,,أنثى,0,1234,2966,6184,11104,19252,25962,31888,35942,38514,35728,39078,16153,14143,54666,332814
,,جملة ,0,2206,5458,10662,19074,31964,42608,51868,58499,63281,59462,66251,27562,24130,92736,555761
,جملة الافراد,ذكر,3906,6201,10132,15904,25474,39761,53255,65664,74351,92728,73902,86972,36281,31766,140583,756880
,,أنثى,1620,5695,9845,17328,29086,46789,62462,76824,87397,106182,85785,99556,41511,36764,159518,866362
,,جملة ,5526,11896,19977,33232,54560,86550,115717,142488,161748,198910,159687,186528,77792,68530,300101,1623242
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
