,,,,,,,,,,,,,,,,
المحافظة,اسر كويتية,,,,اسر غير كويتية,,,,الجملة,,,,,,,
,عدد الأسر,عدد الافراد,,,عدد الأسر,عدد الافراد,,,عدد الأسر,عدد الافراد,,,,,,
,,ذكر,أنثى,جملة,,ذكر,أنثى,جملة,,ذكر,أنثى,جملة,,,,
العاصمة,27486,119864,135046,254910,18892,38317,19495,57812,46378,158181,154541,312722,,,,
 حولي,40766,136903,165723,302626,108506,195036,157854,352890,149272,331939,323577,655516,,,,
الأحمدي,34081,145843,163348,309191,52444,99604,62453,162057,86525,245447,225801,471248,,,,
الجهراء,20469,98626,107276,205902,28304,95203,77706,172909,48773,193829,184982,378811,,,,
الفروانية,34237,143829,165001,308830,125779,276256,120523,396779,160016,420085,285524,705609,,,,
 مبارك الكبير,23528,111815,129968,241783,4172,7402,6467,13869,27700,119217,136435,255652,,,,
جملة الدولة,180567,756880,866362,1623242,338097,711818,444498,1156316,518664,1468698,1310860,2779558,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
