,,,,,,,,,,,,,,,,,,,,,,,,
المحافظة,سكن طلاب أوطالبات,,,سكن مدرسين أو مدرسات,,,سكن ممرضات,,,سكن عمال,,,فنادق وشقق فندقية,,,مسكن عام,,,مساكن جماعية أخرى,,,الإجمالي,,
,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد,عدد المساكن,عدد الأسر,عدد الأفراد
 العاصمة,29,35,792,4,4,45,34,34,760,115,124,1343,68,75,874,139,140,1131,756,819,8846,1145,1231,13791
 حولي,16,16,364,16,20,659,82,107,1925,247,259,2937,84,84,848,44,45,390,1207,1241,10271,1696,1772,17394
الأحمدي,38,97,1545,17,33,634,140,551,11271,965,4060,82526,17,32,471,41,49,601,985,1411,19772,2203,6233,116820
 الجهراء,18,21,271,14,23,427,56,72,1388,504,783,13622,5,5,87,10,10,117,244,370,6252,851,1284,22164
 الفروانية,34,73,1318,19,40,992,224,570,14197,866,1865,55921,16,19,307,24,33,407,2428,3161,39820,3611,5761,112962
 مبارك الكبير,1,1,11,4,4,58,4,6,116,20,20,1096,1,1,18,4,4,32,28,97,1830,62,133,3161
جملة الدولة,136,243,4301,74,124,2815,540,1340,29657,2717,7111,157445,191,216,2605,262,281,2678,5648,7099,86791,9568,16414,286292
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
