0”4244PACI"
"توزيع السكان حسب المناطق والكثافة"
"الاختيار ينعكس على الرسم و التقارير","ديسمبر-2013"
"النوع","المجموع"
"فئات العمر","المجموع"
"المناطق","المجموع",
"دسمان ","2,123"
"شرق ","30,999"
"المرقاب ","7,205"
"حدائق السور ","14"
"القبله ","16,249"
"الواجهه البحريه ",
"بنيد القار ","31,372"
"الدسمة ","19,999"
"المنصوريه ","8,992"
"ضاحية عبدالله السالم ","21,516"
"الشاميه ","17,591"
"الدعيه ","19,607"
"القادسيه ","24,064"
"النزهه ","14,777"
"الفيحاء ","23,260"
"كيفان ","28,360"
"الروضه ","37,146"
"العديليه ","21,288"
"الخالديه ","18,503"
"السره ","35,506"
"قرطبه ","31,201"
"اليرموك ","24,461"
"الشويخ ","5,587"
" الشويخ الصناعيه","9,068"
"غرناطة ","10,344"
"معسكرات المباركيه ","1,884"
"المنطقه الصحيه ","965"
"الصليبيخات ","32,973"
"الدوحه ","32,087"
"ميناء الدوحه ","949"
"جزيرة مسكان ",
"جزيرة عوهه ",
"جزيرة كبر ",
"جزيرة قاروه ",
"جزيرة ام المرادم ",
"جزيرة ام النمل ",
"شاليهات الدوحه ","4"
"المنطقه الحره ",
"حولي ","194,834"
"السالميه ","280,087"
"الشعب ","16,405"
"الرميثيه ","58,957"
"سلوى ","80,999"
"البدع ","1,086"
"مشرف ","40,033"
"مبارك العبدالله ","8,911"
"بيان ","47,930"
"المباركيه ",
"الجابريه ","75,645"
"منطقة وزارات ","8"
"الشهداء ","11,503"
"الزهراء ","20,746"
"حطين ","16,003"
"الصديق ","163"
"السلام ","21,026"
"انجفه ","476"
"مدينة الأحمدي","30,681"
"الفحيحيل ","93,386"
"الصباحيه ","79,762"
"جنوب الصباحيه ","5"
"الرقه ","50,982"
"هديه ","23,104"
"الفنطاس ","37,877"
"ضاحية جابر العلي ","46,093"
"العقيله ","7,645"
"ابو الحصانيه ","532"
"المهبوله ","103,342"
"الادعمي ",
"ابوحليفه ","46,768"
"المنقف ","115,222"
"الظهر ","39,955"
"الشعيبه ","1,171"
"الشعيبه الصناعيه (غ) ","23,330"
"ميناء عبدالله ","2,000"
"شاليهات ميناء عبدالله ","613"
"شاليهات النويصيب ","3"
"شاليهات الخيران ","1,512"
"شاليهات الزور ","11"
"شاليهات الجليعه ","235"
"شاليهات بنيدر ","19"
"شاليهات الضباعيه ","23"
"الزور ","3,276"
"النويصيب ",
"الصبيحيه ",
"الوفره ","104"
"الوفره الجديده ","1,308"
"مزارع الوفرة ","9,428"
"واره ","59"
"المقوع ",
"بر محافظة الاحمدي ","220"
"الجنوبيه الجواخير ","41"
"فهد الاحمد ","18,043"
"علي صباح السالم ","50,237"
"رجم خشمان ","50"
"صباح الاحمد البحريه ",
"صباح الاحمد (1)",
"صباح الاحمد (2)",
"صباح الاحمد (3)",
"صباح الاحمد (4)",
"صباح الاحمد (5)",
"الجهراء ","55,410"
"القصر ","57,767"
"النعيم ","15,094"
"النسيم ","22,865"
"تيماء ","64,539"
"الواحه ","40,743"
"العيون ","41,722"
"السكراب ","5"
"الجهراء الصناعيه ","759"
"الصليبيه الشعبيه ","58,018"
"الصليبيه الصناعيه (1) ","1,379"
"الصليبيه الصناعيه (2) ","3,800"
"الصليبيه الصناعيه (3) ","7"
"الصليبيه الزراعيه ","3,389"
"العبدلي ","7,483"
"امغرة الصناعيه ","13,217"
"المطلاع ","31"
"كاظمة","101"
"الروضتين ","82"
"ام العيش ","26"
"السالمي ","558"
"كبد ","442"
"الشقايا ",
"الصبيه ","47"
"معسكرات الجهراء ","80"
"الاطراف ",
"جزيرة وربه ",
"جزيرة بوبيان ",
"بر محافظة الجهراء ","1,538"
"مدينة سعد العبدالله ","76,566"
"القيروان ","15,687"
"جواخير الجهراء ","5"
"شاليهات كاظمه ",
"شاليهات الصبيه ",
"البحيث ",
"شمال غرب الجهراء","79"
"جابر الاحمد","3,063"
"كبد الزراعيه",
"الفروانيه ","236,932"
"منتزه السره ",
"خيطان ","146,621"
"الري ","6,655"
"العمريه ","18,840"
"الرابيه ","20,820"
"الرحاب ","17,142"
"جليب الشيوخ ","294,926"
"الرقعي ","35,526"
"الاندلس ","47,982"
"العارضيه ","57,845"
"صباح الناصر ","41,146"
"العارضيه (4) ","19"
"اشبيليه ","17,137"
"العارضيه (6) ","493"
"الفردوس ","62,785"
"ضجيج الطائرات ","50"
"المطار الدولي ","214"
"النهضه ","6,472"
"عبدالله مبارك الصباح ","44,692"
"العارضيه الحرفيه","1"
"مبارك الكبير ","37,660"
"القرين ","30,097"
"العدان ","32,206"
"القصور ","36,008"
"المسيله ","1,639"
"صباح السالم ","83,081"
"ضاحية الفنيطيس ","490"
"صبحان الصناعيه ","5,864"
"ضاحية ابو فطيره ","306"
"المنطقة الوسطى ","1,936"
"غرب ابو فطير الحرفيه ","14"
"غير مبين ","5,100"
"المجموع","3,965,144"
"PACI"
