,,,,,,,,,,,,,,,
المحافظة,عدد الأسر,عدد الافراد الكويتيون,,,عدد الافراد غير الكويتيين,,,جملة الافراد,,,,,,,
,,ذكر,أنثى,جملة,ذكر,أنثى,جملة,ذكر,أنثى,جملة,,,,,
 العاصمة,18892,585,1306,1891,37732,18189,55921,38317,19495,57812,,,,,
 حولي,108506,1356,2710,4066,193680,155144,348824,195036,157854,352890,,,,,
 الأحمدي,52444,1199,2296,3495,98405,60157,158562,99604,62453,162057,,,,,
 الجهراء,28304,1889,5360,7249,93314,72346,165660,95203,77706,172909,,,,,
 الفروانية,125779,1437,2724,4161,274819,117799,392618,276256,120523,396779,,,,,
 مبارك الكبير,4172,561,1065,1626,6841,5402,12243,7402,6467,13869,,,,,
جملة الدولة,338097,7027,15461,22488,704791,429037,1133828,711818,444498,1156316,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
