,,,,,,,,,,,,,,,,,,
حجم الأسرة,,,فرد واحد,2,3,4,5,6,7,8,9,10,11,12,13,14,15فأكثر ,جملة 
عدد الأسر,,,79887,63203,57618,56193,36469,17313,8615,5056,3406,3906,1258,1156,830,623,2564,338097
جنسية افراد الاسرة,افراد كويتيون,ذكر,0,224,515,615,690,625,511,567,357,617,201,268,197,113,1527,7027
,,أنثى,0,743,957,1318,1616,1655,1560,1484,1202,1546,567,574,415,302,1522,15461
,,جملة ,0,967,1472,1933,2306,2280,2071,2051,1559,2163,768,842,612,415,3049,22488
,افراد غير كويتيين,ذكر,69285,86785,112719,136829,109378,55981,31130,20252,15394,19756,6700,6626,5088,4254,24614,704791
,,أنثى,10602,38654,58663,86010,70661,45617,27104,18145,13701,17141,6370,6404,5090,4053,20822,429037
,,جملة ,79887,125439,171382,222839,180039,101598,58234,38397,29095,36897,13070,13030,10178,8307,45436,1133828
,جملة الافراد,ذكر,69285,87009,113234,137444,110068,56606,31641,20819,15751,20373,6901,6894,5285,4367,26141,711818
,,أنثى,10602,39397,59620,87328,72277,47272,28664,19629,14903,18687,6937,6978,5505,4355,22344,444498
,,جملة ,79887,126406,172854,224772,182345,103878,60305,40448,30654,39060,13838,13872,10790,8722,48485,1156316
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
